Force (N),Position (mm),Stress (MPa),Strain (%),Time (min)
-0.167,0.00,-0.0159,0.00,0.00549
-0.167,0.00569,-0.0159,0.0379,0.00646
0.00,0.0151,0.00,0.101,0.00743
0.00,0.0242,0.00,0.161,0.00839
0.00,0.0353,0.00,0.235,0.00936
0.00,0.0450,0.00,0.300,0.0103
0.00,0.0555,0.00,0.370,0.0113
0.00,0.0644,0.00,0.429,0.0123
0.00,0.0743,0.00,0.495,0.0132
0.00,0.0839,0.00,0.559,0.0142
0.00,0.0938,0.00,0.625,0.0152
0.00,0.103,0.00,0.684,0.0161
0.00,0.113,0.00,0.754,0.0171
0.00,0.122,0.00,0.816,0.0181
0.00,0.133,0.00,0.885,0.0190
0.00,0.142,0.00,0.946,0.0200
0.00,0.152,0.00,1.01,0.0210
0.00,0.161,0.00,1.08,0.0219
0.00,0.171,0.00,1.14,0.0229
0.00,0.181,0.00,1.20,0.0239
0.00,0.190,0.00,1.27,0.0248
0.00,0.199,0.00,1.33,0.0258
0.00,0.209,0.00,1.39,0.0268
0.00,0.219,0.00,1.46,0.0277
0.00,0.229,0.00,1.53,0.0287
0.00,0.238,0.00,1.59,0.0297
0.00,0.248,0.00,1.65,0.0306
0.00,0.258,0.00,1.72,0.0316
0.00,0.267,0.00,1.78,0.0326
0.00,0.277,0.00,1.85,0.0335
0.00,0.286,0.00,1.91,0.0345
0.00,0.296,0.00,1.97,0.0355
0.00,0.306,0.00,2.04,0.0364
0.00,0.316,0.00,2.11,0.0374
0.00,0.326,0.00,2.17,0.0383
0.00,0.336,0.00,2.24,0.0393
0.00,0.345,0.00,2.30,0.0403
0.00,0.354,0.00,2.36,0.0412
0.00,0.364,0.00,2.42,0.0422
0.00,0.373,0.00,2.49,0.0432
0.00,0.383,0.00,2.56,0.0441
0.00,0.393,0.00,2.62,0.0451
0.00,0.402,0.00,2.68,0.0461
0.00,0.412,0.00,2.75,0.0470
0.00,0.422,0.00,2.82,0.0480
0.00,0.432,0.00,2.88,0.0490
0.00,0.442,0.00,2.94,0.0499
0.00,0.451,0.00,3.01,0.0509
0.00,0.460,0.00,3.07,0.0519
0.00,0.471,0.00,3.14,0.0528
0.00,0.480,0.00,3.20,0.0538
0.00,0.490,0.00,3.27,0.0548
0.00,0.500,0.00,3.33,0.0557
0.00,0.509,0.00,3.39,0.0567
0.00,0.519,0.00,3.46,0.0577
0.00,0.529,0.00,3.52,0.0586
0.00,0.538,0.00,3.59,0.0596
0.00,0.548,0.00,3.66,0.0606
0.00,0.557,0.00,3.71,0.0615
0.00,0.567,0.00,3.78,0.0625
0.00,0.578,0.00,3.85,0.0635
0.00,0.587,0.00,3.91,0.0644
0.00,0.596,0.00,3.97,0.0654
0.00,0.605,0.00,4.04,0.0664
0.00,0.616,0.00,4.10,0.0673
0.00,0.625,0.00,4.17,0.0683
0.00,0.634,0.00,4.23,0.0693
0.00,0.644,0.00,4.29,0.0702
0.00,0.654,0.00,4.36,0.0712
0.167,0.664,0.0159,4.43,0.0722
0.167,0.674,0.0159,4.49,0.0731
0.167,0.683,0.0159,4.56,0.0741
0.00,0.693,0.00,4.62,0.0751
0.167,0.702,0.0159,4.68,0.0760
0.167,0.712,0.0159,4.75,0.0770
0.167,0.722,0.0159,4.81,0.0780
0.00,0.732,0.00,4.88,0.0789
0.167,0.740,0.0159,4.94,0.0799
0.0283,0.751,0.00269,5.00,0.0809
0.0757,0.760,0.00720,5.07,0.0818
0.00,0.771,0.00,5.14,0.0828
0.00,0.780,0.00,5.20,0.0838
0.116,0.790,0.0111,5.27,0.0847
0.167,0.799,0.0159,5.33,0.0857
0.167,0.808,0.0159,5.39,0.0867
0.167,0.818,0.0159,5.45,0.0876
0.167,0.828,0.0159,5.52,0.0886
0.167,0.838,0.0159,5.58,0.0896
0.00,0.848,0.00,5.65,0.0905
0.00,0.857,0.00,5.71,0.0915
0.00,0.867,0.00,5.78,0.0925
0.00,0.876,0.00,5.84,0.0934
0.167,0.887,0.0159,5.91,0.0944
0.167,0.896,0.0159,5.97,0.0954
0.167,0.906,0.0159,6.04,0.0963
0.167,0.916,0.0159,6.11,0.0973
0.0452,0.925,0.00430,6.17,0.0983
0.00,0.934,0.00,6.23,0.0992
0.0275,0.944,0.00262,6.29,0.100
0.167,0.953,0.0159,6.35,0.101
0.167,0.963,0.0159,6.42,0.102
0.167,0.973,0.0159,6.48,0.103
0.161,0.982,0.0153,6.55,0.104
0.167,0.992,0.0159,6.62,0.105
0.167,1.00,0.0159,6.68,0.106
0.167,1.01,0.0159,6.75,0.107
0.167,1.02,0.0159,6.81,0.108
0.167,1.03,0.0159,6.88,0.109
0.167,1.04,0.0159,6.93,0.110
0.167,1.05,0.0159,7.00,0.111
0.167,1.06,0.0159,7.06,0.112
0.167,1.07,0.0159,7.13,0.113
0.167,1.08,0.0159,7.19,0.114
0.167,1.09,0.0159,7.26,0.115
0.167,1.10,0.0159,7.32,0.116
0.167,1.11,0.0159,7.39,0.117
0.167,1.12,0.0159,7.45,0.118
0.167,1.13,0.0159,7.52,0.119
0.167,1.14,0.0159,7.58,0.120
0.167,1.15,0.0159,7.64,0.120
0.167,1.16,0.0159,7.71,0.121
0.167,1.17,0.0159,7.78,0.122
0.167,1.18,0.0159,7.84,0.123
0.167,1.19,0.0159,7.90,0.124
0.167,1.19,0.0159,7.97,0.125
0.167,1.20,0.0159,8.03,0.126
0.167,1.21,0.0159,8.10,0.127
0.167,1.22,0.0159,8.16,0.128
0.167,1.23,0.0159,8.22,0.129
0.167,1.24,0.0159,8.29,0.130
0.167,1.25,0.0159,8.35,0.131
0.167,1.26,0.0159,8.42,0.132
0.167,1.27,0.0159,8.48,0.133
0.167,1.28,0.0159,8.55,0.134
0.167,1.29,0.0159,8.61,0.135
0.167,1.30,0.0159,8.68,0.136
0.167,1.31,0.0159,8.74,0.137
0.167,1.32,0.0159,8.80,0.138
0.167,1.33,0.0159,8.87,0.139
0.167,1.34,0.0159,8.93,0.140
0.167,1.35,0.0159,9.00,0.141
0.167,1.36,0.0159,9.07,0.142
0.167,1.37,0.0159,9.13,0.143
0.231,1.38,0.0220,9.19,0.144
0.333,1.39,0.0317,9.26,0.145
0.196,1.40,0.0187,9.32,0.146
0.167,1.41,0.0159,9.38,0.147
0.167,1.42,0.0159,9.45,0.148
0.167,1.43,0.0159,9.51,0.149
0.167,1.44,0.0159,9.58,0.149
0.167,1.45,0.0159,9.65,0.150
0.187,1.46,0.0178,9.71,0.151
0.193,1.47,0.0183,9.78,0.152
0.333,1.48,0.0317,9.84,0.153
0.167,1.48,0.0159,9.90,0.154
0.167,1.49,0.0159,9.97,0.155
0.333,1.50,0.0317,10.0,0.156
0.333,1.51,0.0317,10.1,0.157
0.310,1.52,0.0295,10.2,0.158
0.167,1.53,0.0159,10.2,0.159
0.167,1.54,0.0159,10.3,0.160
0.167,1.55,0.0159,10.4,0.161
0.333,1.56,0.0317,10.4,0.162
0.333,1.57,0.0317,10.5,0.163
0.167,1.58,0.0159,10.5,0.164
0.167,1.59,0.0159,10.6,0.165
0.167,1.60,0.0159,10.7,0.166
0.167,1.61,0.0159,10.7,0.167
0.167,1.62,0.0159,10.8,0.168
0.167,1.63,0.0159,10.9,0.169
0.333,1.64,0.0317,10.9,0.170
0.333,1.65,0.0317,11.0,0.171
0.333,1.66,0.0317,11.1,0.172
0.167,1.67,0.0159,11.1,0.173
0.269,1.68,0.0256,11.2,0.174
0.333,1.69,0.0317,11.3,0.175
0.333,1.70,0.0317,11.3,0.176
0.333,1.71,0.0317,11.4,0.177
0.333,1.72,0.0317,11.4,0.178
0.333,1.73,0.0317,11.5,0.178
0.333,1.74,0.0317,11.6,0.179
0.333,1.75,0.0317,11.6,0.180
0.333,1.76,0.0317,11.7,0.181
0.333,1.77,0.0317,11.8,0.182
0.333,1.78,0.0317,11.8,0.183
0.333,1.78,0.0317,11.9,0.184
0.333,1.79,0.0317,12.0,0.185
0.333,1.80,0.0317,12.0,0.186
0.333,1.81,0.0317,12.1,0.187
0.333,1.82,0.0317,12.2,0.188
0.333,1.83,0.0317,12.2,0.189
0.333,1.84,0.0317,12.3,0.190
0.333,1.85,0.0317,12.4,0.191
0.333,1.86,0.0317,12.4,0.192
0.333,1.87,0.0317,12.5,0.193
0.333,1.88,0.0317,12.5,0.194
0.333,1.89,0.0317,12.6,0.195
0.333,1.90,0.0317,12.7,0.196
0.333,1.91,0.0317,12.7,0.197
0.333,1.92,0.0317,12.8,0.198
0.333,1.93,0.0317,12.9,0.199
0.333,1.94,0.0317,12.9,0.200
0.333,1.95,0.0317,13.0,0.201
0.333,1.96,0.0317,13.1,0.202
0.333,1.97,0.0317,13.1,0.203
0.333,1.98,0.0317,13.2,0.204
0.333,1.99,0.0317,13.3,0.205
0.333,2.00,0.0317,13.3,0.206
0.333,2.01,0.0317,13.4,0.206
0.333,2.02,0.0317,13.4,0.207
0.333,2.03,0.0317,13.5,0.208
0.333,2.04,0.0317,13.6,0.209
0.333,2.05,0.0317,13.6,0.210
0.333,2.06,0.0317,13.7,0.211
0.333,2.06,0.0317,13.8,0.212
0.333,2.07,0.0317,13.8,0.213
0.333,2.08,0.0317,13.9,0.214
0.333,2.09,0.0317,14.0,0.215
0.359,2.10,0.0342,14.0,0.216
0.500,2.11,0.0476,14.1,0.217
0.500,2.12,0.0476,14.2,0.218
0.333,2.13,0.0317,14.2,0.219
0.500,2.14,0.0476,14.3,0.220
0.333,2.15,0.0317,14.3,0.221
0.333,2.16,0.0317,14.4,0.222
0.333,2.17,0.0317,14.5,0.223
0.333,2.18,0.0317,14.5,0.224
0.333,2.19,0.0317,14.6,0.225
0.333,2.20,0.0317,14.7,0.226
0.333,2.21,0.0317,14.7,0.227
0.333,2.22,0.0317,14.8,0.228
0.333,2.23,0.0317,14.9,0.229
0.333,2.24,0.0317,14.9,0.230
0.333,2.25,0.0317,15.0,0.231
0.333,2.26,0.0317,15.1,0.232
0.333,2.27,0.0317,15.1,0.233
0.333,2.28,0.0317,15.2,0.234
0.333,2.29,0.0317,15.2,0.235
0.333,2.30,0.0317,15.3,0.235
0.333,2.31,0.0317,15.4,0.236
0.333,2.32,0.0317,15.4,0.237
0.333,2.33,0.0317,15.5,0.238
0.333,2.34,0.0317,15.6,0.239
0.333,2.35,0.0317,15.6,0.240
0.333,2.35,0.0317,15.7,0.241
0.333,2.37,0.0317,15.8,0.242
0.333,2.37,0.0317,15.8,0.243
0.343,2.38,0.0326,15.9,0.244
0.333,2.39,0.0317,16.0,0.245
0.437,2.40,0.0416,16.0,0.246
0.333,2.41,0.0317,16.1,0.247
0.333,2.42,0.0317,16.1,0.248
0.333,2.43,0.0317,16.2,0.249
0.333,2.44,0.0317,16.3,0.250
0.500,2.45,0.0476,16.3,0.251
0.500,2.46,0.0476,16.4,0.252
0.500,2.47,0.0476,16.5,0.253
0.500,2.48,0.0476,16.5,0.254
0.333,2.49,0.0317,16.6,0.255
0.333,2.50,0.0317,16.7,0.256
0.333,2.51,0.0317,16.7,0.257
0.333,2.52,0.0317,16.8,0.258
0.333,2.53,0.0317,16.9,0.259
0.333,2.54,0.0317,16.9,0.260
0.333,2.55,0.0317,17.0,0.261
0.333,2.56,0.0317,17.1,0.262
0.333,2.57,0.0317,17.1,0.263
0.500,2.58,0.0476,17.2,0.264
0.500,2.59,0.0476,17.2,0.264
0.381,2.60,0.0363,17.3,0.265
0.333,2.60,0.0317,17.4,0.266
0.333,2.62,0.0317,17.4,0.267
0.333,2.63,0.0317,17.5,0.268
0.333,2.64,0.0317,17.6,0.269
0.500,2.64,0.0476,17.6,0.270
0.336,2.65,0.0320,17.7,0.271
0.333,2.66,0.0317,17.8,0.272
0.409,2.67,0.0389,17.8,0.273
0.500,2.68,0.0476,17.9,0.274
0.500,2.69,0.0476,17.9,0.275
0.500,2.70,0.0476,18.0,0.276
0.500,2.71,0.0476,18.1,0.277
0.500,2.72,0.0476,18.1,0.278
0.374,2.73,0.0356,18.2,0.279
0.333,2.74,0.0317,18.3,0.280
0.333,2.75,0.0317,18.3,0.281
0.333,2.76,0.0317,18.4,0.282
0.333,2.77,0.0317,18.5,0.283
0.333,2.78,0.0317,18.5,0.284
0.500,2.79,0.0476,18.6,0.285
0.500,2.80,0.0476,18.7,0.286
0.500,2.81,0.0476,18.7,0.287
0.500,2.82,0.0476,18.8,0.288
0.488,2.83,0.0464,18.9,0.289
0.393,2.84,0.0374,18.9,0.290
0.441,2.85,0.0420,19.0,0.291
0.500,2.86,0.0476,19.0,0.292
0.464,2.87,0.0442,19.1,0.293
0.333,2.88,0.0317,19.2,0.293
0.333,2.89,0.0317,19.2,0.294
0.333,2.90,0.0317,19.3,0.295
0.333,2.91,0.0317,19.4,0.296
0.333,2.92,0.0317,19.4,0.297
0.333,2.93,0.0317,19.5,0.298
0.500,2.93,0.0476,19.6,0.299
0.500,2.94,0.0476,19.6,0.300
0.500,2.95,0.0476,19.7,0.301
0.500,2.96,0.0476,19.8,0.302
0.500,2.97,0.0476,19.8,0.303
0.500,2.98,0.0476,19.9,0.304
0.500,2.99,0.0476,19.9,0.305
0.500,3.00,0.0476,20.0,0.306
0.500,3.01,0.0476,20.1,0.307
0.500,3.02,0.0476,20.1,0.308
0.500,3.03,0.0476,20.2,0.309
0.500,3.04,0.0476,20.3,0.310
0.500,3.05,0.0476,20.3,0.311
