Force (N),Position (mm),Stress (MPa),Strain (%),Time (min)
0.00,0.00,0.00,0.00,0.00252
0.00,0.00700,0.00,0.0467,0.00995
0.00,0.0222,0.00,0.148,0.0174
0.00,0.0380,0.00,0.253,0.0248
0.00,0.0529,0.00,0.353,0.0323
0.00,0.0675,0.00,0.450,0.0397
0.00,0.0821,0.00,0.547,0.0471
0.00,0.0970,0.00,0.647,0.0546
0.00,0.112,0.00,0.747,0.0620
0.00,0.127,0.00,0.846,0.0694
0.00,0.142,0.00,0.947,0.0769
0.00,0.157,0.00,1.05,0.0843
0.00,0.172,0.00,1.14,0.0917
0.0404,0.186,0.00693,1.24,0.0992
0.00,0.201,0.00,1.34,0.107
0.167,0.216,0.0286,1.44,0.114
0.00,0.231,0.00,1.54,0.121
0.141,0.246,0.0242,1.64,0.129
0.167,0.261,0.0286,1.74,0.136
0.167,0.276,0.0286,1.84,0.144
0.00,0.290,0.00,1.94,0.151
0.00,0.305,0.00,2.03,0.159
0.00,0.320,0.00,2.13,0.166
0.167,0.335,0.0286,2.23,0.174
0.00,0.350,0.00,2.33,0.181
0.167,0.365,0.0286,2.43,0.188
0.167,0.380,0.0286,2.53,0.196
0.167,0.395,0.0286,2.63,0.203
0.167,0.409,0.0286,2.73,0.211
0.167,0.424,0.0286,2.83,0.218
0.167,0.439,0.0286,2.93,0.226
0.167,0.454,0.0286,3.03,0.233
0.167,0.469,0.0286,3.13,0.240
0.167,0.484,0.0286,3.23,0.248
0.167,0.499,0.0286,3.33,0.255
0.167,0.513,0.0286,3.42,0.263
0.167,0.528,0.0286,3.52,0.270
0.167,0.544,0.0286,3.62,0.278
0.167,0.558,0.0286,3.72,0.285
0.167,0.573,0.0286,3.82,0.292
0.167,0.588,0.0286,3.92,0.300
0.167,0.603,0.0286,4.02,0.307
0.167,0.618,0.0286,4.12,0.315
0.167,0.632,0.0286,4.21,0.322
0.167,0.648,0.0286,4.32,0.330
0.167,0.662,0.0286,4.42,0.337
0.167,0.677,0.0286,4.52,0.345
0.167,0.692,0.0286,4.61,0.352
0.167,0.707,0.0286,4.71,0.359
0.167,0.722,0.0286,4.81,0.367
0.167,0.736,0.0286,4.91,0.374
0.167,0.752,0.0286,5.01,0.382
0.167,0.767,0.0286,5.11,0.389
0.333,0.781,0.0573,5.21,0.397
0.167,0.796,0.0286,5.31,0.404
0.167,0.811,0.0286,5.41,0.411
0.333,0.826,0.0573,5.51,0.419
0.270,0.841,0.0464,5.60,0.426
0.333,0.855,0.0573,5.70,0.434
0.333,0.871,0.0573,5.81,0.441
0.333,0.886,0.0573,5.91,0.449
0.333,0.900,0.0573,6.00,0.456
0.167,0.915,0.0286,6.10,0.463
0.167,0.930,0.0286,6.20,0.471
0.167,0.945,0.0286,6.30,0.478
0.333,0.959,0.0573,6.40,0.486
0.333,0.975,0.0573,6.50,0.493
0.333,0.989,0.0573,6.59,0.501
0.333,1.00,0.0573,6.69,0.508
0.333,1.02,0.0573,6.79,0.516
0.333,1.03,0.0573,6.89,0.523
0.333,1.05,0.0573,6.99,0.530
0.167,1.06,0.0286,7.09,0.538
0.333,1.08,0.0573,7.19,0.545
0.333,1.09,0.0573,7.29,0.553
0.333,1.11,0.0573,7.39,0.560
0.333,1.12,0.0573,7.49,0.568
0.333,1.14,0.0573,7.59,0.575
0.333,1.15,0.0573,7.69,0.582
0.333,1.17,0.0573,7.79,0.590
0.333,1.18,0.0573,7.89,0.597
0.333,1.20,0.0573,7.98,0.605
0.333,1.21,0.0573,8.08,0.612
0.333,1.23,0.0573,8.18,0.620
0.333,1.24,0.0573,8.28,0.627
0.333,1.26,0.0573,8.38,0.634
0.333,1.27,0.0573,8.48,0.642
0.333,1.29,0.0573,8.58,0.649
0.333,1.30,0.0573,8.68,0.657
0.333,1.32,0.0573,8.78,0.664
0.333,1.33,0.0573,8.88,0.672
0.333,1.35,0.0573,8.97,0.679
0.333,1.36,0.0573,9.07,0.687
0.333,1.38,0.0573,9.17,0.694
0.333,1.39,0.0573,9.27,0.701
0.333,1.41,0.0573,9.37,0.709
0.333,1.42,0.0573,9.47,0.716
0.333,1.44,0.0573,9.57,0.724
0.333,1.45,0.0573,9.67,0.731
0.333,1.47,0.0573,9.77,0.739
0.333,1.48,0.0573,9.87,0.746
0.333,1.50,0.0573,9.97,0.753
0.333,1.51,0.0573,10.1,0.761
0.333,1.53,0.0573,10.2,0.768
0.500,1.54,0.0859,10.3,0.776
0.333,1.55,0.0573,10.4,0.783
0.333,1.57,0.0573,10.5,0.791
0.333,1.58,0.0573,10.6,0.798
0.333,1.60,0.0573,10.7,0.805
0.403,1.61,0.0692,10.8,0.813
0.333,1.63,0.0573,10.9,0.820
0.500,1.64,0.0859,11.0,0.828
0.396,1.66,0.0680,11.1,0.835
0.333,1.67,0.0573,11.2,0.843
0.333,1.69,0.0573,11.3,0.850
0.333,1.70,0.0573,11.4,0.858
0.333,1.72,0.0573,11.5,0.865
0.500,1.73,0.0859,11.6,0.872
0.333,1.75,0.0573,11.7,0.880
0.500,1.76,0.0859,11.8,0.887
0.333,1.78,0.0573,11.8,0.895
0.500,1.79,0.0859,12.0,0.902
0.500,1.81,0.0859,12.0,0.910
0.333,1.82,0.0573,12.1,0.917
0.500,1.84,0.0859,12.2,0.924
0.500,1.85,0.0859,12.3,0.932
0.500,1.87,0.0859,12.4,0.939
0.500,1.88,0.0859,12.5,0.947
0.500,1.90,0.0859,12.6,0.954
0.333,1.91,0.0573,12.7,0.962
0.500,1.93,0.0859,12.8,0.969
0.500,1.94,0.0859,12.9,0.976
0.500,1.96,0.0859,13.0,0.984
0.500,1.97,0.0859,13.1,0.991
0.500,1.99,0.0859,13.2,0.999
0.500,2.00,0.0859,13.3,1.01
0.500,2.02,0.0859,13.4,1.01
0.500,2.03,0.0859,13.5,1.02
0.500,2.05,0.0859,13.6,1.03
0.500,2.06,0.0859,13.7,1.04
0.500,2.08,0.0859,13.8,1.04
0.500,2.09,0.0859,13.9,1.05
0.500,2.11,0.0859,14.0,1.06
0.500,2.12,0.0859,14.1,1.07
0.500,2.13,0.0859,14.2,1.07
0.500,2.15,0.0859,14.3,1.08
0.500,2.16,0.0859,14.4,1.09
0.500,2.18,0.0859,14.5,1.10
0.500,2.19,0.0859,14.6,1.10
0.500,2.21,0.0859,14.7,1.11
0.500,2.22,0.0859,14.8,1.12
0.500,2.24,0.0859,14.9,1.13
0.500,2.25,0.0859,15.0,1.13
0.500,2.27,0.0859,15.1,1.14
0.500,2.28,0.0859,15.2,1.15
0.500,2.30,0.0859,15.3,1.15
0.500,2.31,0.0859,15.4,1.16
0.500,2.33,0.0859,15.5,1.17
0.500,2.34,0.0859,15.6,1.18
0.601,2.36,0.103,15.7,1.18
0.664,2.37,0.114,15.8,1.19
0.500,2.39,0.0859,15.9,1.20
0.529,2.40,0.0909,16.0,1.21
0.500,2.42,0.0859,16.1,1.21
0.500,2.43,0.0859,16.2,1.22
0.661,2.45,0.114,16.3,1.23
0.500,2.46,0.0859,16.4,1.24
0.500,2.48,0.0859,16.5,1.24
0.541,2.49,0.0930,16.6,1.25
0.667,2.51,0.115,16.7,1.26
0.500,2.52,0.0859,16.8,1.27
0.500,2.54,0.0859,16.9,1.27
0.667,2.55,0.115,17.0,1.28
0.667,2.57,0.115,17.1,1.29
0.667,2.58,0.115,17.2,1.30
0.500,2.60,0.0859,17.3,1.30
0.667,2.61,0.115,17.4,1.31
0.667,2.63,0.115,17.5,1.32
0.667,2.64,0.115,17.6,1.33
0.667,2.66,0.115,17.7,1.33
0.651,2.67,0.112,17.8,1.34
0.667,2.68,0.115,17.9,1.35
0.667,2.70,0.115,18.0,1.36
0.667,2.71,0.115,18.1,1.36
0.667,2.73,0.115,18.2,1.37
0.667,2.74,0.115,18.3,1.38
0.500,2.76,0.0859,18.4,1.39
0.667,2.77,0.115,18.5,1.39
0.667,2.79,0.115,18.6,1.40
0.667,2.80,0.115,18.7,1.41
0.667,2.82,0.115,18.8,1.42
0.667,2.83,0.115,18.9,1.42
0.667,2.85,0.115,19.0,1.43
0.667,2.86,0.115,19.1,1.44
0.667,2.88,0.115,19.2,1.44
0.667,2.89,0.115,19.3,1.45
0.667,2.91,0.115,19.4,1.46
0.667,2.92,0.115,19.5,1.47
0.667,2.94,0.115,19.6,1.47
0.667,2.95,0.115,19.7,1.48
0.667,2.97,0.115,19.8,1.49
0.667,2.98,0.115,19.9,1.50
0.667,3.00,0.115,20.0,1.50
0.667,3.01,0.115,20.1,1.51
0.667,3.03,0.115,20.2,1.52
0.667,3.04,0.115,20.3,1.53
0.667,3.06,0.115,20.4,1.53
0.667,3.07,0.115,20.5,1.54
0.667,3.09,0.115,20.6,1.55
0.833,3.10,0.143,20.7,1.56
0.667,3.12,0.115,20.8,1.56
0.833,3.13,0.143,20.9,1.57
0.833,3.15,0.143,21.0,1.58
0.833,3.16,0.143,21.1,1.59
0.667,3.18,0.115,21.2,1.59
0.667,3.19,0.115,21.3,1.60
0.667,3.21,0.115,21.4,1.61
0.667,3.22,0.115,21.5,1.62
0.667,3.23,0.115,21.6,1.62
0.667,3.25,0.115,21.7,1.63
0.667,3.26,0.115,21.8,1.64
0.725,3.28,0.125,21.9,1.65
0.833,3.29,0.143,22.0,1.65
0.667,3.31,0.115,22.1,1.66
0.667,3.32,0.115,22.2,1.67
0.667,3.34,0.115,22.3,1.68
0.833,3.35,0.143,22.4,1.68
0.833,3.37,0.143,22.5,1.69
0.833,3.38,0.143,22.6,1.70
0.833,3.40,0.143,22.7,1.71
0.833,3.41,0.143,22.8,1.71
0.833,3.43,0.143,22.9,1.72
0.833,3.44,0.143,23.0,1.73
0.833,3.46,0.143,23.1,1.73
0.683,3.47,0.117,23.1,1.74
0.833,3.49,0.143,23.3,1.75
0.785,3.50,0.135,23.3,1.76
0.833,3.52,0.143,23.4,1.76
0.833,3.53,0.143,23.5,1.77
0.833,3.55,0.143,23.6,1.78
0.721,3.56,0.124,23.7,1.79
0.833,3.58,0.143,23.8,1.79
0.833,3.59,0.143,23.9,1.80
0.833,3.61,0.143,24.0,1.81
0.833,3.62,0.143,24.1,1.82
0.833,3.64,0.143,24.2,1.82
0.833,3.65,0.143,24.3,1.83
0.833,3.67,0.143,24.4,1.84
0.833,3.68,0.143,24.5,1.85
0.833,3.70,0.143,24.6,1.85
0.833,3.71,0.143,24.7,1.86
0.833,3.73,0.143,24.8,1.87
0.833,3.74,0.143,24.9,1.88
0.833,3.76,0.143,25.0,1.88
0.833,3.77,0.143,25.1,1.89
0.833,3.79,0.143,25.2,1.90
0.833,3.80,0.143,25.3,1.91
0.833,3.81,0.143,25.4,1.91
0.833,3.83,0.143,25.5,1.92
0.833,3.84,0.143,25.6,1.93
0.833,3.86,0.143,25.7,1.94
0.833,3.87,0.143,25.8,1.94
0.833,3.89,0.143,25.9,1.95
0.833,3.90,0.143,26.0,1.96
0.833,3.92,0.143,26.1,1.97
0.833,3.93,0.143,26.2,1.97
0.833,3.95,0.143,26.3,1.98
0.833,3.96,0.143,26.4,1.99
