Force (N),Position (mm),Stress (MPa),Strain (%),Time (min)
0.00,0.00,0.00,0.00,0.00534
0.00,0.00,0.00,0.00,0.00643
0.00,0.0104,0.00,0.0692,0.00751
0.00,0.0210,0.00,0.140,0.00860
0.00,0.0317,0.00,0.211,0.00968
0.00,0.0436,0.00,0.291,0.0108
0.00,0.0547,0.00,0.365,0.0119
0.00,0.0652,0.00,0.435,0.0129
0.00,0.0767,0.00,0.511,0.0140
0.00,0.0877,0.00,0.584,0.0151
0.00,0.0992,0.00,0.661,0.0162
0.00,0.109,0.00,0.725,0.0173
0.167,0.120,0.0159,0.797,0.0184
0.0956,0.131,0.00910,0.875,0.0194
0.167,0.141,0.0159,0.942,0.0205
0.167,0.153,0.0159,1.02,0.0216
0.167,0.162,0.0159,1.08,0.0227
0.125,0.174,0.0119,1.16,0.0238
0.00,0.186,0.00,1.24,0.0249
0.00,0.196,0.00,1.31,0.0260
0.167,0.207,0.0159,1.38,0.0270
0.167,0.219,0.0159,1.46,0.0281
0.167,0.229,0.0159,1.53,0.0292
0.167,0.240,0.0159,1.60,0.0303
0.167,0.250,0.0159,1.67,0.0314
0.167,0.261,0.0159,1.74,0.0325
0.167,0.272,0.0159,1.81,0.0335
0.167,0.282,0.0159,1.88,0.0346
0.167,0.294,0.0159,1.96,0.0357
0.167,0.305,0.0159,2.03,0.0368
0.167,0.316,0.0159,2.11,0.0379
0.167,0.326,0.0159,2.18,0.0390
0.167,0.337,0.0159,2.25,0.0401
0.167,0.348,0.0159,2.32,0.0411
0.167,0.359,0.0159,2.39,0.0422
0.167,0.369,0.0159,2.46,0.0433
0.167,0.381,0.0159,2.54,0.0444
0.167,0.392,0.0159,2.61,0.0455
0.167,0.403,0.0159,2.68,0.0466
0.167,0.414,0.0159,2.76,0.0477
0.167,0.424,0.0159,2.83,0.0487
0.167,0.435,0.0159,2.90,0.0498
0.167,0.446,0.0159,2.97,0.0509
0.167,0.456,0.0159,3.04,0.0520
0.167,0.467,0.0159,3.11,0.0531
0.167,0.478,0.0159,3.19,0.0542
0.167,0.489,0.0159,3.26,0.0552
0.167,0.500,0.0159,3.34,0.0563
0.167,0.511,0.0159,3.41,0.0574
0.167,0.522,0.0159,3.48,0.0585
0.167,0.533,0.0159,3.55,0.0596
0.167,0.542,0.0159,3.62,0.0607
0.167,0.554,0.0159,3.69,0.0618
0.167,0.565,0.0159,3.77,0.0628
0.167,0.576,0.0159,3.84,0.0639
0.167,0.587,0.0159,3.91,0.0650
0.167,0.598,0.0159,3.99,0.0661
0.167,0.609,0.0159,4.06,0.0672
0.167,0.620,0.0159,4.13,0.0683
0.167,0.630,0.0159,4.20,0.0693
0.333,0.641,0.0317,4.27,0.0704
0.192,0.652,0.0183,4.35,0.0715
0.167,0.663,0.0159,4.42,0.0726
0.302,0.674,0.0287,4.49,0.0737
0.272,0.685,0.0259,4.56,0.0748
0.333,0.695,0.0317,4.63,0.0759
0.333,0.706,0.0317,4.71,0.0769
0.333,0.717,0.0317,4.78,0.0780
0.333,0.728,0.0317,4.85,0.0791
0.333,0.739,0.0317,4.93,0.0802
0.333,0.750,0.0317,5.00,0.0813
0.333,0.761,0.0317,5.07,0.0824
0.333,0.771,0.0317,5.14,0.0835
0.333,0.782,0.0317,5.21,0.0845
0.333,0.792,0.0317,5.28,0.0856
0.333,0.804,0.0317,5.36,0.0867
0.333,0.814,0.0317,5.43,0.0878
0.333,0.826,0.0317,5.50,0.0889
0.333,0.836,0.0317,5.57,0.0900
0.333,0.848,0.0317,5.65,0.0910
0.333,0.858,0.0317,5.72,0.0921
0.500,0.869,0.0476,5.79,0.0932
0.333,0.880,0.0317,5.87,0.0943
0.333,0.891,0.0317,5.94,0.0954
0.333,0.901,0.0317,6.01,0.0965
0.333,0.912,0.0317,6.08,0.0976
0.333,0.922,0.0317,6.15,0.0986
0.333,0.934,0.0317,6.23,0.0997
0.333,0.945,0.0317,6.30,0.101
0.436,0.955,0.0415,6.37,0.102
0.333,0.966,0.0317,6.44,0.103
0.333,0.977,0.0317,6.51,0.104
0.333,0.988,0.0317,6.58,0.105
0.333,0.999,0.0317,6.66,0.106
0.333,1.01,0.0317,6.73,0.107
0.333,1.02,0.0317,6.81,0.108
0.333,1.03,0.0317,6.88,0.109
0.333,1.04,0.0317,6.95,0.111
0.500,1.05,0.0476,7.02,0.112
0.500,1.06,0.0476,7.09,0.113
0.333,1.07,0.0317,7.17,0.114
0.333,1.09,0.0317,7.24,0.115
0.333,1.10,0.0317,7.31,0.116
0.335,1.11,0.0319,7.39,0.117
0.333,1.12,0.0317,7.46,0.118
0.500,1.13,0.0476,7.53,0.119
0.500,1.14,0.0476,7.60,0.120
0.500,1.15,0.0476,7.67,0.121
0.500,1.16,0.0476,7.75,0.123
0.500,1.17,0.0476,7.82,0.124
0.500,1.18,0.0476,7.89,0.125
0.500,1.19,0.0476,7.96,0.126
0.500,1.20,0.0476,8.03,0.127
0.500,1.22,0.0476,8.10,0.128
0.500,1.23,0.0476,8.17,0.129
0.500,1.24,0.0476,8.25,0.130
0.500,1.25,0.0476,8.32,0.131
0.500,1.26,0.0476,8.40,0.132
0.500,1.27,0.0476,8.47,0.133
0.500,1.28,0.0476,8.54,0.134
0.500,1.29,0.0476,8.61,0.136
0.500,1.30,0.0476,8.68,0.137
0.500,1.31,0.0476,8.75,0.138
0.500,1.32,0.0476,8.83,0.139
0.500,1.34,0.0476,8.90,0.140
0.500,1.35,0.0476,8.97,0.141
0.500,1.36,0.0476,9.05,0.142
0.500,1.37,0.0476,9.12,0.143
0.500,1.38,0.0476,9.19,0.144
0.500,1.39,0.0476,9.26,0.145
0.667,1.40,0.0635,9.33,0.146
0.500,1.41,0.0476,9.41,0.147
0.666,1.42,0.0634,9.48,0.149
0.520,1.43,0.0496,9.55,0.150
0.667,1.44,0.0635,9.62,0.151
0.667,1.45,0.0635,9.69,0.152
0.667,1.47,0.0635,9.77,0.153
0.500,1.48,0.0476,9.84,0.154
0.500,1.49,0.0476,9.91,0.155
0.534,1.50,0.0509,9.99,0.156
0.667,1.51,0.0635,10.1,0.157
0.667,1.52,0.0635,10.1,0.158
0.546,1.53,0.0520,10.2,0.159
0.500,1.54,0.0476,10.3,0.160
0.500,1.55,0.0476,10.3,0.162
0.500,1.56,0.0476,10.4,0.163
0.500,1.57,0.0476,10.5,0.164
0.500,1.58,0.0476,10.6,0.165
0.500,1.60,0.0476,10.6,0.166
0.500,1.61,0.0476,10.7,0.167
0.518,1.62,0.0493,10.8,0.168
