,Force (N),Position (mm),Stress (MPa),Strain (%),Time (min)
0,-0.167,0.0,-0.0159,0.0,0.00549
166,0.167,1.6,0.0159,10.7,0.166
333,0.5,3.21,0.0476,21.4,0.327
500,0.667,4.83,0.0635,32.2,0.489
666,1.0,6.43,0.0952,42.9,0.649
833,1.32,8.05,0.125,53.7,0.81
1000,1.5,9.66,0.143,64.4,0.972
1166,1.67,11.3,0.159,75.1,1.13
1333,2.17,12.9,0.206,85.9,1.29
1500,2.17,14.5,0.206,96.6,1.46
1666,2.5,16.1,0.238,107.0,1.62
1833,2.83,17.7,0.27,118.0,1.78
2000,3.17,19.3,0.302,129.0,1.94
2166,3.33,20.9,0.317,140.0,2.1
2333,3.67,22.5,0.349,150.0,2.26
2500,4.17,24.2,0.397,161.0,2.42
2666,4.5,25.8,0.429,172.0,2.58
2833,4.83,27.4,0.46,182.0,2.74
3000,5.33,29.0,0.508,193.0,2.9
3166,5.67,30.6,0.54,204.0,3.07
3333,6.0,32.2,0.571,215.0,3.23
3500,6.5,33.8,0.619,225.0,3.39
3666,7.0,35.4,0.667,236.0,3.55
3833,7.33,37.0,0.698,247.0,3.71
4000,7.83,38.7,0.746,258.0,3.87
4166,8.5,40.3,0.81,268.0,4.03
4333,8.83,41.9,0.841,279.0,4.19
4500,9.33,43.5,0.889,290.0,4.35
4666,9.77,45.1,0.93,301.0,4.51
4833,10.2,46.7,0.968,311.0,4.68
