,Force (N),Position (mm),Stress (MPa),Strain (%),Time (min)
0,0.0,0.0,0.0,0.0,0.00534
166,0.667,1.79,0.0635,11.9,0.185
333,0.833,3.6,0.0794,24.0,0.367
500,1.17,5.41,0.111,36.1,0.548
666,1.5,7.22,0.143,48.1,0.728
833,2.0,9.03,0.19,60.2,0.909
1000,2.33,10.8,0.222,72.3,1.09
1166,2.67,12.6,0.254,84.3,1.27
1333,3.0,14.5,0.286,96.3,1.45
1500,3.5,16.3,0.333,108.0,1.63
1666,3.83,18.1,0.365,120.0,1.81
1833,4.33,19.9,0.413,133.0,1.99
2000,4.83,21.7,0.46,145.0,2.18
2166,5.17,23.5,0.492,157.0,2.36
2333,5.67,25.3,0.54,169.0,2.54
2500,6.0,27.1,0.571,181.0,2.72
2666,6.83,28.9,0.651,193.0,2.9
2833,7.17,30.7,0.683,205.0,3.08
3000,8.17,32.5,0.778,217.0,3.26
3166,9.0,34.3,0.857,229.0,3.44
3333,9.83,36.1,0.937,241.0,3.62
3500,10.7,38.0,1.02,253.0,3.8
3666,11.5,39.8,1.1,265.0,3.98
3833,12.2,41.6,1.16,277.0,4.16
4000,13.0,43.4,1.24,289.0,4.34
4166,13.7,45.2,1.3,301.0,4.52
4333,14.3,47.0,1.37,313.0,4.71
4500,15.0,48.8,1.43,325.0,4.89
4666,15.2,50.6,1.44,337.0,5.07
4833,14.7,52.4,1.4,349.0,5.25
