,Force (N),Position (mm),Stress (MPa),Strain (%),Time (min)
0,0.0,0.0,0.0,0.0,0.00395
166,3.0,3.48,0.0476,9.95,1.75
333,4.83,6.99,0.0767,20.0,3.5
500,14.7,10.5,0.233,30.0,5.25
666,76.7,14.0,1.22,39.9,6.99
833,141.0,17.5,2.23,49.9,8.74
1000,47.8,21.0,0.759,59.9,10.5
1166,17.2,24.5,0.272,69.9,12.2
1333,11.8,28.0,0.188,79.9,14.0
1500,10.8,31.5,0.172,89.9,15.7
1666,32.3,35.0,0.513,99.9,17.5
1833,117.0,38.5,1.86,110.0,19.2
2000,69.5,42.0,1.1,120.0,21.0
2166,29.5,45.4,0.468,130.0,22.7
2333,21.8,49.0,0.347,140.0,24.5
2500,66.8,52.5,1.06,150.0,26.2
2666,125.0,55.9,1.99,160.0,28.0
2833,54.7,59.4,0.868,170.0,29.7
3000,32.2,62.9,0.511,180.0,31.5
3166,46.0,66.4,0.73,190.0,33.2
3333,110.0,69.9,1.74,200.0,35.0
3500,50.3,73.4,0.799,210.0,36.7
3666,33.5,76.9,0.532,220.0,38.5
3833,23.2,80.4,0.368,230.0,40.2
4000,17.8,83.9,0.283,240.0,42.0
4166,53.7,87.4,0.852,250.0,43.7
4333,125.0,90.9,1.99,260.0,45.5
4500,157.0,94.4,2.49,270.0,47.2
4666,170.0,97.9,2.69,280.0,49.0
4833,160.0,101.0,2.53,290.0,50.7
