,Force (N),Position (mm),Stress (MPa),Strain (%),Time (min)
0,0.167,0.0,0.00855,0.0,0.00361
166,14.5,0.119,0.744,0.341,0.0638
333,16.3,0.24,0.838,0.687,0.124
500,17.0,0.361,0.872,1.03,0.185
666,25.7,0.482,1.32,1.38,0.245
833,81.5,0.603,4.18,1.72,0.306
1000,123.0,0.724,6.31,2.07,0.366
1166,165.0,0.845,8.45,2.41,0.426
1333,202.0,0.966,10.3,2.76,0.487
1500,232.0,1.09,11.9,3.1,0.547
1666,262.0,1.21,13.4,3.45,0.608
1833,286.0,1.33,14.7,3.79,0.668
2000,277.0,1.45,14.2,4.14,0.729
2166,289.0,1.57,14.8,4.48,0.789
2333,293.0,1.69,15.0,4.83,0.849
2500,289.0,1.81,14.8,5.18,0.91
2666,268.0,1.93,13.7,5.52,0.97
2833,272.0,2.05,13.9,5.87,1.03
3000,273.0,2.17,14.0,6.21,1.09
3166,271.0,2.29,13.9,6.56,1.15
3333,270.0,2.42,13.9,6.9,1.21
3500,309.0,2.54,15.9,7.25,1.27
3666,355.0,2.66,18.2,7.59,1.33
3833,405.0,2.78,20.8,7.94,1.39
4000,447.0,2.9,22.9,8.28,1.45
4166,475.0,3.02,24.3,8.63,1.51
4333,479.0,3.14,24.6,8.97,1.57
4500,-10.5,3.26,-0.538,9.32,1.64
4666,-10.5,3.38,-0.538,9.66,1.7
4833,-10.5,3.5,-0.538,10.0,1.76
