,Force (N),Position (mm),Stress (MPa),Strain (%),Time (min)
0,-0.167,0.0,-0.00926,0.0,0.00314
166,37.2,0.0803,2.06,0.229,0.0195
333,81.0,0.162,4.5,0.463,0.0359
500,123.0,0.244,6.81,0.697,0.0524
666,163.0,0.326,9.03,0.932,0.0688
833,199.0,0.409,11.1,1.17,0.0852
1000,235.0,0.491,13.1,1.4,0.102
1166,268.0,0.572,14.9,1.64,0.118
1333,294.0,0.655,16.3,1.87,0.134
1500,325.0,0.737,18.1,2.1,0.151
1666,355.0,0.819,19.7,2.34,0.167
1833,384.0,0.901,21.3,2.57,0.184
2000,412.0,0.983,22.9,2.81,0.2
2166,438.0,1.07,24.3,3.04,0.217
2333,460.0,1.15,25.6,3.28,0.233
2500,479.0,1.23,26.6,3.51,0.249
2666,491.0,1.31,27.3,3.75,0.266
2833,497.0,1.39,27.6,3.98,0.282
3000,496.0,1.48,27.5,4.22,0.299
3166,490.0,1.56,27.2,4.45,0.315
3333,483.0,1.64,26.8,4.69,0.332
3500,459.0,1.72,25.5,4.92,0.348
3666,-16.3,1.8,-0.907,5.15,0.364
3833,-16.5,1.89,-0.915,5.39,0.381
4000,-16.3,1.97,-0.907,5.62,0.397
4166,-16.3,2.05,-0.907,5.86,0.414
4333,-16.3,2.13,-0.907,6.09,0.43
4500,-16.5,2.21,-0.917,6.33,0.446
4666,-16.3,2.3,-0.907,6.56,0.463
4833,-16.3,2.38,-0.907,6.8,0.479
