,Force (N),Position (mm),Stress (MPa),Strain (%),Time (min)
0,0.0,0.0,0.0,0.0,0.00568
166,1.67,0.94,0.104,3.13,0.1
333,3.0,1.89,0.187,6.3,0.195
500,4.5,2.84,0.281,9.46,0.29
666,6.0,3.78,0.375,12.6,0.384
833,7.17,4.73,0.448,15.8,0.479
1000,8.5,5.68,0.531,18.9,0.574
1166,10.0,6.62,0.625,22.1,0.668
1333,11.5,7.57,0.719,25.2,0.763
1500,13.0,8.52,0.812,28.4,0.858
1666,14.5,9.47,0.906,31.6,0.952
1833,16.2,10.4,1.01,34.7,1.05
2000,18.0,11.4,1.12,37.9,1.14
2166,19.5,12.3,1.22,41.0,1.24
2333,21.0,13.3,1.31,44.2,1.33
2500,22.8,14.2,1.43,47.3,1.43
2666,24.5,15.1,1.53,50.5,1.52
2833,26.2,16.1,1.64,53.7,1.62
3000,28.0,17.0,1.75,56.8,1.71
3166,30.0,18.0,1.87,60.0,1.8
3333,31.7,18.9,1.98,63.1,1.9
3500,33.3,19.9,2.08,66.3,1.99
3666,35.3,20.8,2.21,69.4,2.09
3833,37.2,21.8,2.32,72.6,2.18
4000,39.0,22.7,2.44,75.8,2.28
4166,40.7,23.7,2.54,78.9,2.37
4333,42.3,24.6,2.65,82.1,2.47
4500,43.8,25.6,2.74,85.2,2.56
4666,45.3,26.5,2.83,88.4,2.66
4833,-7.5,27.5,-0.469,91.5,2.75
