,Force (N),Position (mm),Stress (MPa),Strain (%),Time (min)
0,0.167,0.0,0.0104,0.0,0.00313
166,2.67,1.22,0.167,4.08,0.126
333,4.83,2.46,0.302,8.19,0.249
500,6.83,3.69,0.427,12.3,0.373
666,8.83,4.92,0.552,16.4,0.495
833,10.7,6.15,0.667,20.5,0.619
1000,12.3,7.39,0.771,24.6,0.742
1166,14.0,8.61,0.875,28.7,0.865
1333,15.7,9.85,0.979,32.8,0.988
1500,17.3,11.1,1.08,36.9,1.11
1666,18.8,12.3,1.18,41.0,1.23
1833,20.7,13.5,1.29,45.1,1.36
2000,22.2,14.8,1.39,49.2,1.48
2166,23.7,16.0,1.48,53.3,1.6
2333,25.2,17.2,1.57,57.5,1.73
2500,27.0,18.5,1.69,61.6,1.85
2666,28.7,19.7,1.79,65.7,1.97
2833,30.3,20.9,1.9,69.8,2.1
3000,32.3,22.2,2.02,73.9,2.22
3166,34.2,23.4,2.14,78.0,2.34
3333,36.2,24.6,2.26,82.1,2.47
3500,38.2,25.9,2.39,86.2,2.59
3666,39.9,27.1,2.49,90.3,2.71
3833,41.8,28.3,2.61,94.4,2.84
4000,43.3,29.6,2.71,98.5,2.96
4166,45.3,30.8,2.83,103.0,3.08
4333,47.7,32.0,2.98,107.0,3.2
4500,49.3,33.2,3.08,111.0,3.33
4666,51.0,34.5,3.19,115.0,3.45
4833,0.333,35.7,0.0208,119.0,3.57
