,Force (N),Position (mm),Stress (MPa),Strain (%),Time (min)
0,0.0,0.0,0.0,0.0,0.00345
163,2.67,1.47,0.13,5.33,0.297
327,5.0,2.94,0.244,10.7,0.592
490,7.17,4.41,0.35,16.0,0.886
654,9.33,5.89,0.456,21.4,1.18
818,11.3,7.36,0.554,26.8,1.48
981,13.3,8.83,0.652,32.1,1.77
1145,15.3,10.3,0.749,37.5,2.06
1309,17.3,11.8,0.847,42.8,2.36
1472,19.3,13.2,0.945,48.2,2.65
1636,21.3,14.7,1.04,53.5,2.95
1799,23.3,16.2,1.14,58.9,3.24
1963,25.3,17.7,1.24,64.2,3.54
2127,27.5,19.1,1.34,69.6,3.83
2290,29.5,20.6,1.44,75.0,4.13
2454,31.7,22.1,1.55,80.3,4.42
2618,33.7,23.6,1.65,85.7,4.72
2781,35.8,25.0,1.75,91.0,5.01
2945,37.8,26.5,1.85,96.4,5.31
3109,40.0,28.0,1.96,102.0,5.6
3272,42.3,29.5,2.07,107.0,5.89
3436,44.3,30.9,2.17,112.0,6.19
3599,46.5,32.4,2.27,118.0,6.48
3763,48.7,33.9,2.38,123.0,6.78
3927,50.5,35.3,2.47,129.0,7.07
4090,52.7,36.8,2.57,134.0,7.37
4254,54.8,38.3,2.68,139.0,7.66
4418,58.0,40.4,2.83,147.0,8.09
4581,60.5,41.9,2.96,152.0,8.38
4745,63.2,43.4,3.09,158.0,8.68
