Force (N),Position (mm),Stress (MPa),Strain (%),Time (min)
0.00,0.00,0.00,0.00,0.00395
0.167,0.0200,0.00265,0.0571,0.0144
0.167,0.0411,0.00265,0.117,0.0249
0.167,0.0620,0.00265,0.177,0.0354
0.167,0.0828,0.00265,0.237,0.0459
0.183,0.104,0.00291,0.297,0.0564
0.333,0.125,0.00529,0.357,0.0669
0.333,0.146,0.00529,0.417,0.0774
0.333,0.167,0.00529,0.477,0.0879
0.333,0.188,0.00529,0.537,0.0984
0.333,0.209,0.00529,0.597,0.109
0.500,0.230,0.00794,0.657,0.119
0.500,0.251,0.00794,0.717,0.130
0.500,0.272,0.00794,0.777,0.140
0.500,0.293,0.00794,0.837,0.151
0.500,0.314,0.00794,0.897,0.161
0.667,0.335,0.0106,0.956,0.172
0.500,0.356,0.00794,1.02,0.182
0.667,0.377,0.0106,1.08,0.193
0.667,0.398,0.0106,1.14,0.203
0.667,0.419,0.0106,1.20,0.214
0.667,0.440,0.0106,1.26,0.224
0.667,0.461,0.0106,1.32,0.235
0.833,0.481,0.0132,1.38,0.245
0.667,0.503,0.0106,1.44,0.256
0.808,0.524,0.0128,1.50,0.266
0.833,0.545,0.0132,1.56,0.277
0.667,0.566,0.0106,1.62,0.287
0.833,0.586,0.0132,1.67,0.298
0.833,0.608,0.0132,1.74,0.308
0.833,0.628,0.0132,1.79,0.319
0.667,0.649,0.0106,1.86,0.329
0.773,0.671,0.0123,1.92,0.340
0.833,0.691,0.0132,1.97,0.350
0.833,0.712,0.0132,2.03,0.361
0.833,0.733,0.0132,2.09,0.371
0.833,0.755,0.0132,2.16,0.382
0.833,0.775,0.0132,2.22,0.392
0.833,0.796,0.0132,2.27,0.403
1.00,0.817,0.0159,2.33,0.413
1.00,0.838,0.0159,2.40,0.424
1.00,0.860,0.0159,2.46,0.434
0.971,0.880,0.0154,2.51,0.445
1.00,0.901,0.0159,2.57,0.455
1.00,0.922,0.0159,2.63,0.466
1.00,0.943,0.0159,2.69,0.476
1.00,0.965,0.0159,2.76,0.487
1.00,0.985,0.0159,2.81,0.497
1.12,1.01,0.0178,2.88,0.508
1.17,1.03,0.0185,2.93,0.518
1.17,1.05,0.0185,2.99,0.529
1.17,1.07,0.0185,3.06,0.539
1.17,1.09,0.0185,3.11,0.550
1.17,1.11,0.0185,3.17,0.560
1.17,1.13,0.0185,3.23,0.571
1.17,1.15,0.0185,3.30,0.581
1.33,1.17,0.0212,3.35,0.591
1.33,1.20,0.0212,3.41,0.602
1.33,1.22,0.0212,3.47,0.612
1.33,1.24,0.0212,3.53,0.623
1.33,1.26,0.0212,3.59,0.633
1.33,1.28,0.0212,3.66,0.644
1.33,1.30,0.0212,3.71,0.654
1.33,1.32,0.0212,3.77,0.665
1.35,1.34,0.0214,3.83,0.675
1.50,1.36,0.0238,3.89,0.686
1.50,1.38,0.0238,3.95,0.696
1.50,1.41,0.0238,4.01,0.707
1.67,1.43,0.0265,4.07,0.717
1.50,1.45,0.0238,4.13,0.728
1.50,1.47,0.0238,4.19,0.738
1.67,1.49,0.0265,4.25,0.749
1.67,1.51,0.0265,4.31,0.759
1.67,1.53,0.0265,4.37,0.770
1.67,1.55,0.0265,4.43,0.780
1.83,1.57,0.0291,4.49,0.791
1.83,1.59,0.0291,4.55,0.801
1.83,1.62,0.0291,4.61,0.812
1.83,1.64,0.0291,4.67,0.822
1.83,1.66,0.0291,4.73,0.833
1.83,1.68,0.0291,4.79,0.843
1.83,1.70,0.0291,4.85,0.854
1.87,1.72,0.0297,4.91,0.864
1.83,1.74,0.0291,4.97,0.875
1.83,1.76,0.0291,5.03,0.885
2.00,1.78,0.0317,5.09,0.896
1.83,1.80,0.0291,5.15,0.906
2.00,1.82,0.0317,5.21,0.917
2.00,1.85,0.0317,5.27,0.927
