Force (N),Position (mm),Stress (MPa),Strain (%),Time (min)
0.167,0.00,0.00855,0.00,0.00361
0.167,0.00,0.00855,0.00,0.00398
0.167,0.00,0.00855,0.00,0.00434
0.167,0.000627,0.00855,0.00179,0.00470
0.170,0.00100,0.00873,0.00286,0.00507
0.333,0.00142,0.0171,0.00405,0.00543
0.604,0.00281,0.0310,0.00804,0.00579
0.735,0.00321,0.0377,0.00916,0.00615
1.10,0.00400,0.0564,0.0114,0.00652
1.50,0.00500,0.0769,0.0143,0.00688
1.84,0.00535,0.0945,0.0153,0.00724
2.17,0.00600,0.111,0.0171,0.00760
2.69,0.00700,0.138,0.0200,0.00797
2.96,0.00725,0.152,0.0207,0.00833
3.40,0.00821,0.175,0.0235,0.00869
3.86,0.00938,0.198,0.0268,0.00905
4.34,0.0100,0.222,0.0286,0.00942
4.83,0.0107,0.248,0.0305,0.00978
5.14,0.0118,0.264,0.0338,0.0101
5.53,0.0121,0.283,0.0344,0.0105
6.04,0.0130,0.310,0.0371,0.0109
6.32,0.0135,0.324,0.0385,0.0112
6.73,0.0147,0.345,0.0419,0.0116
7.28,0.0150,0.373,0.0429,0.0120
7.51,0.0160,0.385,0.0458,0.0123
7.90,0.0170,0.405,0.0486,0.0127
8.30,0.0174,0.426,0.0497,0.0130
8.60,0.0180,0.441,0.0514,0.0134
8.94,0.0188,0.458,0.0538,0.0138
9.33,0.0200,0.478,0.0571,0.0141
9.70,0.0210,0.497,0.0600,0.0145
9.90,0.0214,0.508,0.0611,0.0149
10.2,0.0220,0.523,0.0629,0.0152
10.5,0.0228,0.537,0.0652,0.0156
10.8,0.0237,0.555,0.0676,0.0159
11.0,0.0240,0.564,0.0686,0.0163
11.4,0.0250,0.583,0.0714,0.0167
11.6,0.0254,0.597,0.0726,0.0170
11.9,0.0264,0.610,0.0753,0.0174
12.1,0.0274,0.622,0.0782,0.0178
12.5,0.0280,0.639,0.0800,0.0181
12.7,0.0290,0.651,0.0829,0.0185
13.0,0.0296,0.668,0.0845,0.0188
13.2,0.0300,0.675,0.0857,0.0192
13.5,0.0310,0.692,0.0886,0.0196
13.6,0.0317,0.699,0.0907,0.0199
13.9,0.0321,0.711,0.0918,0.0203
14.0,0.0330,0.718,0.0943,0.0207
14.2,0.0339,0.726,0.0969,0.0210
14.2,0.0343,0.729,0.0981,0.0214
14.3,0.0350,0.735,0.100,0.0217
14.4,0.0361,0.736,0.103,0.0221
14.5,0.0370,0.744,0.106,0.0225
14.5,0.0379,0.744,0.108,0.0228
14.5,0.0383,0.744,0.109,0.0232
14.5,0.0390,0.744,0.111,0.0236
14.5,0.0400,0.744,0.114,0.0239
14.5,0.0405,0.744,0.116,0.0243
14.5,0.0410,0.744,0.117,0.0246
14.5,0.0420,0.744,0.120,0.0250
14.5,0.0427,0.744,0.122,0.0254
14.5,0.0438,0.744,0.125,0.0257
14.5,0.0440,0.744,0.126,0.0261
14.6,0.0448,0.751,0.128,0.0265
14.7,0.0452,0.752,0.129,0.0268
14.7,0.0460,0.752,0.131,0.0272
14.7,0.0470,0.752,0.134,0.0275
14.7,0.0474,0.752,0.135,0.0279
14.7,0.0480,0.752,0.137,0.0283
14.7,0.0492,0.752,0.141,0.0286
14.7,0.0500,0.752,0.143,0.0290
14.7,0.0510,0.752,0.146,0.0294
14.7,0.0514,0.752,0.147,0.0297
14.7,0.0520,0.752,0.149,0.0301
14.7,0.0530,0.752,0.151,0.0304
14.7,0.0536,0.752,0.153,0.0308
14.7,0.0540,0.752,0.154,0.0312
14.7,0.0550,0.752,0.157,0.0315
14.7,0.0558,0.752,0.159,0.0319
14.7,0.0561,0.752,0.160,0.0323
14.7,0.0575,0.752,0.164,0.0326
14.7,0.0580,0.752,0.166,0.0330
14.7,0.0590,0.752,0.169,0.0333
14.7,0.0590,0.752,0.169,0.0337
14.7,0.0601,0.752,0.172,0.0341
14.7,0.0610,0.752,0.174,0.0344
14.7,0.0610,0.752,0.174,0.0348
14.7,0.0620,0.752,0.177,0.0352
14.7,0.0627,0.752,0.179,0.0355
14.7,0.0640,0.752,0.183,0.0359
14.7,0.0645,0.752,0.184,0.0362
14.7,0.0650,0.752,0.186,0.0366
14.7,0.0660,0.752,0.189,0.0370
14.7,0.0667,0.752,0.190,0.0373
14.5,0.0671,0.744,0.192,0.0377
14.5,0.0680,0.744,0.194,0.0381
14.5,0.0689,0.744,0.197,0.0384
14.5,0.0692,0.744,0.198,0.0388
14.5,0.0706,0.744,0.202,0.0391
14.5,0.0710,0.744,0.203,0.0395
14.6,0.0720,0.747,0.206,0.0399
14.5,0.0728,0.745,0.208,0.0402
14.5,0.0732,0.744,0.209,0.0406
14.5,0.0740,0.744,0.211,0.0410
14.5,0.0750,0.744,0.214,0.0413
14.5,0.0754,0.744,0.215,0.0417
14.5,0.0760,0.744,0.217,0.0420
14.5,0.0770,0.744,0.220,0.0424
14.5,0.0774,0.744,0.221,0.0428
14.5,0.0780,0.744,0.223,0.0431
14.5,0.0784,0.744,0.224,0.0435
14.5,0.0790,0.744,0.226,0.0439
14.5,0.0802,0.744,0.229,0.0442
14.5,0.0810,0.744,0.231,0.0446
14.5,0.0820,0.744,0.234,0.0449
14.5,0.0823,0.744,0.235,0.0453
14.5,0.0830,0.744,0.237,0.0457
14.5,0.0840,0.744,0.240,0.0460
14.6,0.0845,0.748,0.242,0.0464
14.7,0.0850,0.752,0.243,0.0468
14.7,0.0860,0.752,0.246,0.0471
14.7,0.0867,0.752,0.248,0.0475
14.7,0.0880,0.752,0.251,0.0478
14.7,0.0885,0.752,0.253,0.0482
14.7,0.0890,0.752,0.254,0.0486
14.5,0.0900,0.744,0.257,0.0489
14.5,0.0907,0.744,0.259,0.0493
14.5,0.0911,0.744,0.260,0.0497
14.5,0.0920,0.744,0.263,0.0500
14.5,0.0929,0.744,0.265,0.0504
14.5,0.0933,0.744,0.266,0.0507
14.5,0.0940,0.744,0.269,0.0511
14.5,0.0948,0.744,0.271,0.0515
14.5,0.0957,0.744,0.273,0.0518
14.5,0.0960,0.744,0.274,0.0522
14.5,0.0970,0.742,0.277,0.0526
14.3,0.0976,0.735,0.279,0.0529
14.5,0.0980,0.744,0.280,0.0533
14.5,0.0990,0.744,0.283,0.0536
14.5,0.0998,0.744,0.285,0.0540
14.5,0.101,0.744,0.289,0.0544
14.5,0.102,0.744,0.290,0.0547
