Force (N),Position (mm),Stress (MPa),Strain (%),Time (min)
-0.167,0.00,-0.00926,0.00,0.00314
-0.167,0.00,-0.00926,0.00,0.00324
-0.167,0.00,-0.00926,0.00,0.00334
-0.167,0.00,-0.00926,0.00,0.00344
-0.167,0.00,-0.00926,0.00,0.00353
-0.167,0.00,-0.00926,0.00,0.00363
-0.167,0.00,-0.00926,0.00,0.00373
-0.167,0.000416,-0.00926,0.00119,0.00383
-0.167,0.00121,-0.00926,0.00345,0.00393
-0.167,0.00200,-0.00926,0.00571,0.00403
-0.102,0.00239,-0.00566,0.00682,0.00413
-0.0369,0.00278,-0.00205,0.00794,0.00422
0.0547,0.00333,0.00304,0.00951,0.00432
0.181,0.00409,0.0101,0.0117,0.00442
0.308,0.00485,0.0171,0.0139,0.00452
0.384,0.00530,0.0213,0.0152,0.00462
0.448,0.00569,0.0249,0.0162,0.00472
0.533,0.00607,0.0296,0.0173,0.00482
0.722,0.00644,0.0401,0.0184,0.00491
0.910,0.00682,0.0506,0.0195,0.00501
1.07,0.00720,0.0592,0.0206,0.00511
1.19,0.00758,0.0663,0.0217,0.00521
1.32,0.00796,0.0733,0.0227,0.00531
1.54,0.00863,0.0858,0.0247,0.00541
1.78,0.00934,0.0989,0.0267,0.00550
2.01,0.0100,0.112,0.0286,0.00560
2.14,0.0104,0.119,0.0297,0.00570
2.26,0.0108,0.126,0.0308,0.00580
2.50,0.0113,0.139,0.0324,0.00590
2.88,0.0121,0.160,0.0345,0.00600
3.26,0.0128,0.181,0.0367,0.00610
3.43,0.0133,0.191,0.0380,0.00619
3.56,0.0137,0.198,0.0391,0.00629
3.72,0.0141,0.207,0.0402,0.00639
4.10,0.0144,0.228,0.0412,0.00649
4.48,0.0148,0.249,0.0423,0.00659
4.76,0.0152,0.264,0.0434,0.00669
4.95,0.0156,0.275,0.0445,0.00679
5.14,0.0159,0.286,0.0456,0.00688
5.49,0.0166,0.305,0.0476,0.00698
