Force (N),Position (mm),Stress (MPa),Strain (%),Time (min)
0.167,0.00,0.0104,0.00,0.00313
0.167,0.00208,0.0104,0.00692,0.00386
0.167,0.0103,0.0104,0.0344,0.00460
0.195,0.0177,0.0122,0.0589,0.00534
0.333,0.0260,0.0208,0.0868,0.00608
0.333,0.0329,0.0208,0.110,0.00682
0.333,0.0411,0.0208,0.137,0.00756
0.333,0.0485,0.0208,0.162,0.00830
0.333,0.0562,0.0208,0.187,0.00904
0.333,0.0640,0.0208,0.213,0.00978
0.333,0.0708,0.0208,0.236,0.0105
0.500,0.0776,0.0312,0.259,0.0113
0.500,0.0851,0.0312,0.284,0.0120
0.500,0.0921,0.0312,0.307,0.0127
0.500,0.100,0.0312,0.333,0.0135
0.500,0.108,0.0312,0.359,0.0142
0.500,0.115,0.0312,0.382,0.0149
0.500,0.122,0.0312,0.406,0.0157
0.500,0.129,0.0312,0.431,0.0164
0.500,0.137,0.0312,0.457,0.0172
0.630,0.144,0.0394,0.481,0.0179
0.667,0.152,0.0417,0.507,0.0186
0.667,0.160,0.0417,0.533,0.0194
0.667,0.168,0.0417,0.559,0.0201
0.667,0.174,0.0417,0.579,0.0209
0.667,0.182,0.0417,0.607,0.0216
0.667,0.189,0.0417,0.629,0.0223
0.667,0.197,0.0417,0.657,0.0231
0.667,0.204,0.0417,0.680,0.0238
0.667,0.211,0.0417,0.705,0.0246
0.667,0.219,0.0417,0.731,0.0253
0.735,0.226,0.0459,0.752,0.0260
0.833,0.233,0.0521,0.776,0.0268
0.833,0.241,0.0521,0.804,0.0275
0.833,0.248,0.0521,0.827,0.0282
0.833,0.256,0.0521,0.852,0.0290
0.833,0.264,0.0521,0.878,0.0297
0.833,0.270,0.0521,0.901,0.0305
0.833,0.279,0.0521,0.929,0.0312
0.833,0.286,0.0521,0.952,0.0319
0.833,0.293,0.0521,0.976,0.0327
0.833,0.300,0.0521,1.00,0.0334
0.833,0.307,0.0521,1.02,0.0342
0.857,0.314,0.0536,1.05,0.0349
1.00,0.323,0.0625,1.08,0.0356
1.00,0.330,0.0625,1.10,0.0364
1.00,0.337,0.0625,1.12,0.0371
1.00,0.345,0.0625,1.15,0.0379
1.00,0.351,0.0625,1.17,0.0386
1.00,0.359,0.0625,1.20,0.0393
1.00,0.366,0.0625,1.22,0.0401
1.00,0.375,0.0625,1.25,0.0408
1.17,0.381,0.0729,1.27,0.0415
1.17,0.389,0.0729,1.30,0.0423
1.17,0.396,0.0729,1.32,0.0430
1.17,0.403,0.0729,1.34,0.0438
1.17,0.410,0.0729,1.37,0.0445
1.17,0.419,0.0729,1.40,0.0452
1.17,0.426,0.0729,1.42,0.0460
1.17,0.433,0.0729,1.44,0.0467
1.17,0.441,0.0729,1.47,0.0475
1.17,0.448,0.0729,1.49,0.0482
1.17,0.455,0.0729,1.52,0.0489
1.17,0.462,0.0729,1.54,0.0497
1.17,0.470,0.0729,1.57,0.0504
1.27,0.477,0.0796,1.59,0.0512
1.33,0.484,0.0833,1.61,0.0519
1.33,0.491,0.0833,1.64,0.0526
1.33,0.500,0.0833,1.67,0.0534
1.33,0.506,0.0833,1.69,0.0541
1.33,0.515,0.0833,1.72,0.0548
1.33,0.521,0.0833,1.74,0.0556
1.43,0.529,0.0892,1.76,0.0563
1.50,0.537,0.0937,1.79,0.0571
1.50,0.544,0.0937,1.81,0.0578
1.33,0.552,0.0833,1.84,0.0585
1.33,0.559,0.0833,1.86,0.0593
1.33,0.566,0.0833,1.89,0.0600
1.50,0.573,0.0937,1.91,0.0608
1.50,0.581,0.0937,1.94,0.0615
1.50,0.588,0.0937,1.96,0.0622
1.50,0.596,0.0937,1.99,0.0630
1.50,0.603,0.0937,2.01,0.0637
1.50,0.610,0.0937,2.03,0.0645
1.50,0.618,0.0937,2.06,0.0652
1.67,0.625,0.104,2.08,0.0659
1.67,0.633,0.104,2.11,0.0667
1.67,0.640,0.104,2.13,0.0674
1.67,0.648,0.104,2.16,0.0681
1.67,0.654,0.104,2.18,0.0689
1.67,0.661,0.104,2.20,0.0696
1.67,0.669,0.104,2.23,0.0704
1.67,0.677,0.104,2.26,0.0711
1.70,0.684,0.106,2.28,0.0718
1.68,0.692,0.105,2.31,0.0726
1.67,0.699,0.104,2.33,0.0733
1.67,0.707,0.104,2.36,0.0741
1.67,0.714,0.104,2.38,0.0748
1.83,0.721,0.115,2.40,0.0755
1.83,0.728,0.115,2.43,0.0763
1.83,0.735,0.115,2.45,0.0770
1.83,0.743,0.115,2.48,0.0778
1.83,0.751,0.115,2.50,0.0785
1.83,0.758,0.115,2.53,0.0792
1.83,0.765,0.115,2.55,0.0800
1.83,0.773,0.115,2.58,0.0807
1.83,0.780,0.115,2.60,0.0814
1.83,0.788,0.115,2.63,0.0822
2.00,0.795,0.125,2.65,0.0829
2.00,0.803,0.125,2.68,0.0837
